リスト番号,山名,読み,都道府県,標高,山系,備考
1,利尻岳,りしりだけ,北海道,1721,利尻島,利尻礼文サロベツ国立公園
2,羅臼岳,らうすだけ,北海道,1660,知床半島,"知床 (世界遺産)
知床国立公園"
3,斜里岳,しゃりだけ,北海道,1547,知床半島,斜里岳道立自然公園
4,阿寒岳,あかんだけ,北海道,1499,独立峰,阿寒摩周国立公園
5,大雪山,たいせつざん,北海道,2291,大雪山系,"大雪山国立公園
北海道の最高峰"
6,トムラウシ,とむらうし,北海道,2141,大雪山系,大雪山国立公園
7,十勝岳,とかちだけ,北海道,2077,大雪山系,大雪山国立公園
8,幌尻岳,ぽろしりだけ,北海道,2052,日高山脈,日高山脈襟裳国定公園
9,後方羊蹄山,しりべしやま,北海道,1898,独立峰,"支笏洞爺国立公園
蝦夷富士"
10,岩木山,いわきさん,青森県,1625,独立峰,"津軽国定公園
津軽富士
青森県の最高峰"
11,八甲田山,はっこうださん,青森県,1584,奥羽山脈,十和田八幡平国立公園
12,八幡平,はちまんたい,"岩手県, 秋田県",1614,奥羽山脈,十和田八幡平国立公園
13,岩手山,いわてさん,岩手県,2038,奥羽山脈,"十和田八幡平国立公園
岩手県の最高峰"
14,早池峰,はやちね,岩手県,1917,北上山地,早池峰国定公園
15,鳥海山,ちょうかいさん,"秋田県, 山形県",2236,出羽山地,"鳥海国定公園
山形県の最高峰"
16,月山,がっさん,山形県,1984,出羽山地,磐梯朝日国立公園
17,朝日岳,あさひだけ,"山形県, 新潟県",1870,朝日山地,磐梯朝日国立公園
18,蔵王山,ざおうさん,"宮城県, 山形県",1841,奥羽山脈,"蔵王国定公園
宮城県の最高峰"
19,飯豊山,いいでさん,"山形県, 福島県, 新潟県",2128,飯豊山地,磐梯朝日国立公園
20,吾妻山,あづまさん,"山形県, 福島県",2035,奥羽山脈,磐梯朝日国立公園
21,安達太良山,あだたらやま,福島県,1709,奥羽山脈,磐梯朝日国立公園
22,磐梯山,ばんだいさん,福島県,1816,奥羽山脈,磐梯朝日国立公園
23,会津駒ヶ岳,あいづこまがだけ,福島県,2133,越後山脈,尾瀬国立公園
24,那須岳,なすだけ,"福島県, 栃木県",1917,那須連山,日光国立公園
25,魚沼駒ヶ岳,うおぬまこまがたけ,新潟県,2003,越後山脈,越後三山只見国定公園
26,平ヶ岳,ひらがたけ,"新潟県, 群馬県",2141,三国山脈,越後三山只見国定公園
27,巻機山,まきはたやま,"新潟県, 群馬県",1967,三国山脈,魚沼連峰県立自然公園
28,燧岳,ひうちだけ,福島県,2356,越後山脈,"尾瀬国立公園
福島県の最高峰"
29,至仏山,しぶつさん,群馬県,2228,越後山脈,尾瀬国立公園
30,谷川岳,たにがわだけ,"新潟県, 群馬県",1977,三国山脈,上信越高原国立公園
31,雨飾山,あまかざりやま,"新潟県, 長野県",1963,頸城山塊,妙高戸隠連山国立公園
32,苗場山,なえばさん,"新潟県, 長野県",2145,三国山脈,上信越高原国立公園
33,妙高山,みょうこうさん,新潟県,2454,頸城山塊,妙高戸隠連山国立公園
34,火打山,ひうちやま,新潟県,2462,頸城山塊,妙高戸隠連山国立公園
35,高妻山,たかつまやま,"新潟県, 長野県",2353,戸隠連峰,妙高戸隠連山国立公園
36,男体山,なんたいさん,栃木県,2486,日光連山,日光国立公園
37,奥白根山,おくしらねさん,"栃木県, 群馬県",2578,日光連山,"日光国立公園
栃木県の最高峰
群馬県の最高峰"
38,皇海山,すかいさん,"栃木県, 群馬県",2144,足尾山地,日光国立公園
39,武尊山,ほたかやま,群馬県,2158,越後山脈,""
40,赤城山,あかぎやま,群馬県,1828,独立峰,県立赤城公園
41,草津白根山,くさつしらねさん,群馬県,2171,独立峰,上信越高原国立公園
42,四阿山,あずまやさん,"群馬県, 長野県",2354,菅平高原,上信越高原国立公園
43,浅間山,あさまやま,"群馬県, 長野県",2568,浅間山系,上信越高原国立公園
44,筑波山,つくばさん,茨城県,877,八溝山地,水郷筑波国定公園
45,白馬岳,しろうまだけ,"長野県, 富山県",2932,後立山連峰,中部山岳国立公園
46,五竜岳,ごりゅうだけ,"長野県, 富山県",2814,後立山連峰,中部山岳国立公園
47,鹿島槍岳,かしまやりだけ,"長野県, 富山県",2889,後立山連峰,中部山岳国立公園
48,剱岳,つるぎだけ,富山県,2999,立山連峰,"中部山岳国立公園
氷河
が現存"
49,立山,たてやま,富山県,3015,立山連峰,"中部山岳国立公園
氷河が現存
富山県の最高峰"
50,薬師岳,やくしだけ,富山県,2926,飛騨山脈,中部山岳国立公園
51,黒部五郎岳,くろべごろうだけ,"富山県, 岐阜県",2840,飛騨山脈,中部山岳国立公園
52,黒岳,くろだけ,富山県,2986,飛騨山脈,中部山岳国立公園
53,鷲羽岳,わしばだけ,"長野県, 富山県",2924,飛騨山脈,中部山岳国立公園
54,槍ヶ岳,やりがたけ,"長野県, 岐阜県",3180,飛騨山脈,中部山岳国立公園
55,穂高岳,ほたかだけ,"長野県, 岐阜県",3190,飛騨山脈,"中部山岳国立公園
長野県の最高峰
岐阜県の最高峰"
56,常念岳,じょうねんだけ,長野県,2857,常念山脈,中部山岳国立公園
57,笠ヶ岳,かさがだけ,岐阜県,2897,飛騨山脈,中部山岳国立公園
58,焼岳,やけだけ,"長野県, 岐阜県",2455,飛騨山脈,中部山岳国立公園
59,乗鞍岳,のりくらだけ,"長野県, 岐阜県",3026,飛騨山脈,中部山岳国立公園
60,御嶽山,おんたけさん,"長野県, 岐阜県",3067,独立峰,"御岳県立自然公園
（長野県）
御嶽山県立自然公園
（岐阜県）"
61,美ヶ原,うつくしがはら,長野県,2034,中信高原,八ヶ岳中信高原国定公園
62,霧ヶ峰,きりがみね,長野県,1925,中信高原,八ヶ岳中信高原国定公園
63,蓼科山,たてしなやま,長野県,2530,八ヶ岳連峰,八ヶ岳中信高原国定公園
64,八ヶ岳,やつがたけ,"長野県, 山梨県",2899,八ヶ岳連峰,八ヶ岳中信高原国定公園
65,両神山,りょうかみさん,埼玉県,1723,奥秩父山塊,秩父多摩甲斐国立公園
66,雲取山,くもとりやま,"埼玉県, 東京都, 山梨県",2017,奥秩父山塊,"秩父多摩甲斐国立公園
東京都の最高峰"
67,甲武信岳,こぶしだけ,"埼玉県, 長野県, 山梨県",2475,奥秩父山塊,秩父多摩甲斐国立公園
68,金峰山,きんぷさん,"長野県, 山梨県",2599,奥秩父山塊,秩父多摩甲斐国立公園
69,瑞牆山,みずがきやま,山梨県,2230,奥秩父山塊,秩父多摩甲斐国立公園
70,大菩薩岳,だいぼさつだけ,山梨県,2057,奥秩父山塊,秩父多摩甲斐国立公園
71,丹沢山,たんざわさん,神奈川県,1673,丹沢山地,丹沢大山国定公園
72,富士山,ふじさん,"山梨県, 静岡県",3776,独立峰,"富士箱根伊豆国立公園
山梨県の最高峰
静岡県の最高峰"
73,天城山,あまぎさん,静岡県,1405,伊豆半島,富士箱根伊豆国立公園
74,木曽駒ヶ岳,きそこまがたけ,長野県,2956,木曽山脈,中央アルプス県立自然公園
75,空木岳,うつぎだけ,長野県,2864,木曽山脈,中央アルプス県立自然公園
76,恵那山,えなさん,"長野県, 岐阜県",2191,木曽山脈,"中央アルプス県立自然公園（長野県）
胞山県立自然公園
（岐阜県）"
77,甲斐駒ヶ岳,かいこまがたけ,"山梨県, 長野県",2967,赤石山脈,南アルプス国立公園
78,仙丈岳,せんじょうだけ,"山梨県, 長野県",3033,赤石山脈,南アルプス国立公園
79,鳳凰山,ほうおうざん,山梨県,2840,赤石山脈,南アルプス国立公園
80,北岳,きただけ,山梨県,3193,赤石山脈,南アルプス国立公園
81,間ノ岳,あいのだけ,"山梨県, 静岡県",3190,赤石山脈,南アルプス国立公園
82,塩見岳,しおみだけ,"長野県, 静岡県",3052,赤石山脈,南アルプス国立公園
83,悪沢岳,わるさわだけ,"長野県, 静岡県",3141,赤石山脈,南アルプス国立公園
84,赤石岳,あかいしだけ,"長野県, 静岡県",3120,赤石山脈,南アルプス国立公園
85,聖岳,ひじりだけ,"長野県, 静岡県",3013,赤石山脈,南アルプス国立公園
86,光岳,てかりだけ,"長野県, 静岡県",2591,赤石山脈,南アルプス国立公園
87,白山,はくさん,"岐阜県, 石川県",2702,両白山地,白山国立公園
88,荒島岳,あらしまだけ,福井県,1523,越美山地,奥越高原県立自然公園
89,伊吹山,いぶきやま,"岐阜県, 滋賀県",1377,伊吹山地,"琵琶湖国定公園
滋賀県の最高峰"
90,大台ヶ原山,おおだいがはらやま,"三重県, 奈良県",1695,台高山脈,"吉野熊野国立公園
三重県の最高峰"
91,大峰山,おおみねさん,奈良県,1915,紀伊山地,"吉野熊野国立公園
奈良県の最高峰"
92,大山,だいせん,鳥取県,1729,中国山地,"大山隠岐国立公園
鳥取県の最高峰"
93,剣山,つるぎさん,徳島県,1955,四国山地,"剣山国定公園
徳島県の最高峰"
94,石鎚山,いしづちさん,愛媛県,1982,四国山地,"石鎚国定公園
愛媛県の最高峰"
95,九重山,くじゅうさん,大分県,1791,九重火山群,"阿蘇くじゅう国立公園
大分県の最高峰"
96,祖母山,そぼさん,"大分県, 宮崎県",1756,九州山地,"祖母傾国定公園
宮崎県の最高峰"
97,阿蘇山,あそさん,熊本県,1592,阿蘇カルデラ,阿蘇くじゅう国立公園
98,霧島山,きりしまやま,"宮崎県, 鹿児島県",1700,えびの高原,霧島錦江湾国立公園
99,開聞岳,かいもんだけ,鹿児島県,924,南薩火山群,霧島錦江湾国立公園
100,宮ノ浦岳,みやのうらだけ,鹿児島県,1936,屋久島,"屋久島国立公園
鹿児島県の最高峰"
